Camera Name,site,time,status,Date Deployed,Date Removed,active,visual,baitlure,baittype,luretype,baitluretype,KS,detection
CI 1-3,CI 1,138,0,11/23/2022,4/10/2023,138,PVC,no,none,none,absent.absent,no,no
LR 1-1,LR 1,87,0,1/13/2023,4/10/2023,87,scale,yes,paste,gusto,paste.gusto,no,no
LR 1-2,LR 1,87,0,1/13/2023,4/10/2023,87,PVC,yes,paste,salmon,paste.salmon,yes,no
LR 1-3,LR 1,44,1,1/13/2023,4/10/2023,87,suet,yes,beaver,supreme,beaver.supreme,no,yes
TD 3-1,TD 3,22.5,1,1/16/2023,5/30/2023,134,suet,yes,beaver,gusto,beaver.gusto,no,yes
TD 3-2,TD 3,152,0,1/16/2023,6/17/2023,152,scale,yes,paste,salmon,paste.salmon,yes,no
TD 3-3,TD 3,152,0,1/16/2023,6/17/2023,152,PVC,yes,paste,supreme,paste.supreme,no,no
KL 2-1,KL 2,127,0,2/10/2023,6/17/2023,127,suet,yes,beaver,salmon,beaver.salmon,no,no
KL 2-2,KL 2,106,1,2/10/2023,6/17/2023,127,PVC,yes,paste,gusto,paste.gusto,no,yes
KL 2-3,KL 2,127,0,2/10/2023,6/17/2023,127,scale,yes,paste,supreme,paste.supreme,no,no
MB 1-1,MB 1,117,0,3/5/2023,6/30/2023,117,scale,no,none,none,absent.absent,no,no
MB 1-2,MB 1,121,0,3/5/2023,7/4/2023,121,suet,no,none,none,absent.absent,yes,no
MB 1-3,MB 1,125,0,3/5/2023,7/8/2023,125,PVC,no,none,none,absent.absent,no,no
TD 4-1,TD 4,112,0,3/26/2023,7/16/2023,112,PVC,no,none,none,absent.absent,no,no
TD 4-2,TD 4,112,0,3/26/2023,7/16/2023,112,scale,no,none,none,absent.absent,yes,no
TD 4-3,TD 4,32,1,3/26/2023,7/16/2023,112,suet,no,none,none,absent.absent,no,yes
PLP 4-1,PLP 4,119,1,3/26/2023,7/30/2023,126,PVC,no,none,none,absent.absent,no,yes
PLP 4-2,PLP 4,126,0,3/26/2023,7/30/2023,126,suet,no,none,none,absent.absent,yes,no
PLP 4-3,PLP 4,119,1,3/26/2023,7/30/2023,126,scale,no,none,none,absent.absent,no,yes
PLP 5-1,PLP 5,97,0,3/26/2023,7/1/2023,97,suet,yes,beaver,supreme,beaver.supreme,no,no
PLP 5-2,PLP 5,6,1,3/26/2023,7/1/2023,97,scale,yes,paste,salmon,paste.salmon,yes,yes
PLP 5-3,PLP 5,97,0,3/26/2023,7/1/2023,97,PVC,yes,paste,gusto,paste.gusto,no,no
MP 3-1,MP 3,117,0,4/10/2023,8/5/2023,117,scale,yes,paste,gusto,paste.gusto,no,no
MP 3-2,MP 3,117,0,4/10/2023,8/5/2023,117,suet,yes,beaver,supreme,beaver.supreme,no,no
MP 3-3,MP 3,117,0,4/10/2023,8/5/2023,117,PVC,yes,paste,salmon,paste.salmon,yes,no
PLP 6-1,PLP 6,117,0,4/10/2023,8/5/2023,117,suet,no,none,none,absent.absent,no,no
PLP 6-2,PLP 6,117,0,4/10/2023,8/5/2023,117,scale,no,none,none,absent.absent,no,no
PLP 6-3,PLP 6,117,0,4/10/2023,8/5/2023,117,PVC,no,none,none,absent.absent,no,no
CI 2-1,CI 2,62,1,4/10/2023,7/16/2023,97,suet,yes,beaver,salmon,beaver.salmon,no,yes
CI 2-2,CI 2,97,0,4/10/2023,7/16/2023,97,scale,yes,paste,gusto,paste.gusto,no,no
CI 2-3,CI 2,92,1,4/10/2023,7/16/2023,97,PVC,yes,paste,supreme,paste.supreme,no,yes
LR 2-1,LR 2,82,1,4/10/2023,7/16/2023,97,PVC,yes,paste,salmon,paste.salmon,no,yes
LR 2-2,LR 2,97,0,4/10/2023,7/16/2023,97,suet,yes,beaver,supreme,beaver.supreme,no,no
LR 2-3,LR 2,97,0,4/10/2023,7/16/2023,97,scale,yes,paste,gusto,paste.gusto,no,no
PLP 7-1,PLP 7,118,0,7/1/2023,10/27/2023,118,suet,yes,beaver,salmon,beaver.salmon,no,no
PLP 7-2,PLP 7,118,0,7/1/2023,10/27/2023,118,scale,yes,paste,supreme,paste.supreme,no,no
PLP 7-3,PLP 7,118,0,7/1/2023,10/27/2023,118,PVC,yes,paste,gusto,paste.gusto,no,no
TD 5-1,TD 5,108,1,7/1/2023,10/27/2023,118,suet,yes,beaver,supreme,beaver.supreme,no,yes
TD 5-2,TD 5,118,0,7/1/2023,10/27/2023,118,scale,yes,paste,salmon,paste.salmon,yes,no
TD 5-3,TD 5,118,0,7/1/2023,10/27/2023,118,PVC,yes,paste,gusto,paste.gusto,no,no
BR 1-1,BR 1,39,1,7/1/2023,8/26/2023,56,suet,yes,beaver,gusto,beaver.gusto,no,yes
BR 1-2,BR 1,39,0,7/1/2023,8/9/2023,39,scale,yes,paste,salmon,paste.salmon,yes,no
BR 1-3,BR 1,4,1,7/1/2023,8/26/2023,56,PVC,yes,paste,supreme,paste.supreme,no,yes
MB 2-1,MB 2,111,0,7/8/2023,10/27/2023,111,PVC,no,none,none,absent.absent,yes,no
MB 2-2,MB 2,111,0,7/8/2023,10/27/2023,111,suet,no,none,none,absent.absent,no,no
MB 2-3,MB 2,111,0,7/8/2023,10/27/2023,111,scale,no,none,none,absent.absent,no,no
LR 3-1,LR 3,9,1,7/16/2023,8/26/2023,41,PVC,no,none,none,absent.absent,yes,yes
LR 3-2,LR 3,41,0,7/16/2023,8/26/2023,41,scale,no,none,none,absent.absent,no,no
LR 3-3,LR 3,41,0,7/16/2023,8/26/2023,41,suet,no,none,none,absent.absent,no,no
TD 6-1,TD 6,41,0,7/16/2023,8/26/2023,41,PVC,no,none,none,absent.absent,no,no
TD 6-2,TD 6,14,1,7/16/2023,8/26/2023,41,scale,no,none,none,absent.absent,no,yes
TD 6-3,TD 6,41,0,7/16/2023,8/26/2023,41,suet,no,none,none,absent.absent,yes,no
TD 7-1,TD 7,16,1,9/1/2023,10/27/2023,56,PVC,no,none,none,absent.absent,no,yes
TD 7-2,TD 7,56,0,9/1/2023,10/27/2023,56,suet,no,none,none,absent.absent,yes,no
TD 7-3,TD 7,56,0,9/1/2023,10/27/2023,56,scale,no,none,none,absent.absent,no,no
SH 1-1,SH 1,126,0,7/16/2023,11/26/2023,126,suet,yes,beaver,supreme,beaver.supreme,yes,no
SH 1-2,SH 1,93,1,7/16/2023,11/26/2023,126,scale,yes,paste,gusto,paste.gusto,no,yes
SH 1-3,SH 1,103,1,7/16/2023,11/26/2023,126,PVC,yes,paste,salmon,paste.salmon,no,yes
PLP 8-1,PLP 8,113,0,8/5/2023,11/26/2023,113,suet,no,none,none,absent.absent,no,no
PLP 8-2,PLP 8,113,0,8/5/2023,11/26/2023,113,PVC,no,none,none,absent.absent,yes,no
PLP 8-3,PLP 8,113,0,8/5/2023,11/26/2023,113,scale,no,none,none,absent.absent,no,no
KR 1-1,KR 1,113,0,8/5/2023,11/26/2023,113,PVC,yes,paste,salmon,paste.salmon,no,no
KR 1-2,KR 1,113,0,8/5/2023,11/26/2023,113,scale,yes,paste,gusto,paste.gusto,no,no
KR 1-3,KR 1,113,0,8/5/2023,11/26/2023,113,suet,yes,beaver,supreme,beaver.supreme,yes,no
PLP 9-1,PLP 9,113,0,8/5/2023,11/26/2023,113,suet,yes,beaver,gusto,beaver.gusto,no,no
PLP 9-2,PLP 9,113,0,8/5/2023,11/26/2023,113,PVC,yes,paste,supreme,paste.supreme,no,no
PLP 9-3,PLP 9,113,0,8/5/2023,11/26/2023,113,scale,yes,paste,salmon,paste.salmon,no,no
BR 2-1,BR 2,30,1,8/26/2023,11/26/2023,92,PVC,yes,paste,supreme,paste.supreme,no,yes
BR 2-2,BR 2,42,1,8/26/2023,11/26/2023,92,suet,yes,beaver,salmon,beaver.salmon,no,yes
BR 2-3,BR 2,41,1,8/26/2023,11/26/2023,92,scale,yes,paste,gusto,paste.gusto,no,yes
BR 3-1,BR 3,13,1,8/26/2023,11/26/2023,92,PVC,yes,beaver,salmon,beaver.salmon,no,yes
BR 3-2,BR 3,4,1,8/26/2023,11/26/2023,92,scale,yes,paste,supreme,paste.supreme,no,yes
BR 3-3,BR 3,4,1,8/26/2023,11/26/2023,92,suet,yes,beaver,gusto,beaver.gusto,yes,yes
BR 4-1,BR 4,26,1,9/22/2023,11/26/2023,65,PVC,yes,paste,salmon,paste.salmon,no,yes
BR 4-2,BR 4,57,0,9/22/2023,11/26/2023,65,scale,yes,paste,gusto,paste.gusto,no,no
BR 4-3,BR 4,26,1,9/22/2023,11/26/2023,65,suet,yes,beaver,supreme,beaver.supreme,no,yes
WB 1-1,WB 1,113,0,8/26/2023,12/17/2023,113,suet,yes,beaver,gusto,beaver.gusto,no,no
WB 1-2,WB 1,113,0,8/26/2023,12/17/2023,113,scale,yes,paste,salmon,paste.salmon,no,no
WB 1-3,WB 1,113,0,8/26/2023,12/17/2023,113,PVC,yes,paste,supreme,paste.supreme,yes,no
BR 5-1,BR 5,51,0,11/26/2023,1/12/2024,47,scale,yes,paste,gusto,paste.gusto,no,no
BR 5-2,BR 5,51,0,11/26/2023,1/12/2024,47,PVC,yes,paste,supreme,paste.supreme,no,no
BR 5-3,BR 5,4,1,11/26/2023,1/12/2024,47,suet,yes,beaver,salmon,beaver.salmon,no,yes
KR 2-1,KR 2,95,0,11/26/2023,2/29/2024,95,suet,yes,beaver,gusto,beaver.gusto,no,no
KR 2-2,KR 2,95,0,11/26/2023,2/29/2024,95,scale,yes,paste,supreme,paste.supreme,no,no
KR 2-3,KR 2,95,0,11/26/2023,2/29/2024,95,PVC,yes,paste,salmon,paste.salmon,no,no
PLP 10-1,PLP 10,95,0,11/26/2023,2/29/2024,95,PVC,yes,paste,supreme,paste.supreme,yes,no
PLP 10-2,PLP 10,95,0,11/26/2023,2/29/2024,95,scale,yes,paste,salmon,paste.salmon,no,no
PLP 10-3,PLP 10,95,0,11/26/2023,2/29/2024,95,suet,yes,beaver,gusto,beaver.gusto,no,no
PLP 11-1,PLP 11,95,0,11/26/2023,2/29/2024,95,suet,no,none,none,absent.absent,yes,no
PLP 11-2,PLP 11,95,0,11/26/2023,2/29/2024,95,PVC,no,none,none,absent.absent,no,no
PLP 11-3,PLP 11,95,0,11/26/2023,2/29/2024,95,scale,no,none,none,absent.absent,no,no
SH 2-1,SH 2,64,0,11/30/2023,2/2/2024,64,scale,yes,beaver,salmon,beaver.salmon,no,no
SH 2-2,SH 2,29,1,11/30/2023,2/2/2024,64,suet,yes,beaver,gusto,beaver.gusto,no,yes
SH 2-3,SH 2,64,0,11/30/2023,2/2/2024,64,PVC,yes,paste,supreme,paste.supreme,no,no
SH 3-1,SH 3,91,0,11/30/2023,2/29/2024,91,scale,yes,beaver,gusto,beaver.gusto,no,no
SH 3-2,SH 3,91,0,11/30/2023,2/29/2024,91,suet,yes,beaver,salmon,beaver.salmon,no,no
SH 3-3,SH 3,91,0,11/30/2023,2/29/2024,91,PVC,yes,paste,supreme,paste.supreme,no,no
